22/01/2014 22/01/2014, Iniciando monitor de actividad...
22/01/2014 22/01/2014, Iniciando interfase de entrada - UI...
22/01/2014 22/01/2014, Iniciando interfase de entrada - UI...
22/01/2014 22/01/2014, Error al generar ticket de entrada
22/01/2014 11:40, Iniciando interfase de entrada - UI...
22/01/2014 11:42, Error al generar ticket de entrada
12/02/2014 12:27, Iniciando interfase de entrada - UI...
12/02/2014 12:32, Iniciando interfase de entrada - Port_I...
25/02/2014 6:26, Iniciando interfase de entrada - UI...
25/02/2014 6:27, Error al generar ticket de entrada
25/02/2014 6:28, Error al generar ticket de entrada
25/02/2014 6:28, Error al generar ticket de entrada
25/02/2014 6:31, Iniciando interfase de entrada - UI...
25/02/2014 6:33, Iniciando interfase de entrada - UI...
25/02/2014 6:34, Error al generar ticket de entrada
25/02/2014 6:37, Iniciando interfase de entrada - UI...
25/02/2014 6:37, Error al generar ticket de entrada
25/02/2014 6:38, Iniciando interfase de entrada - UI...
25/02/2014 6:39, Entrada generada, ticket 100015
25/02/2014 6:40, Entrada generada, ticket 100016
25/02/2014 6:43, Iniciando interfase de entrada - UI...
25/02/2014 6:43, Entrada generada, ticket 100017
25/02/2014 6:44, Iniciando interfase de entrada - UI...
25/02/2014 6:44, Entrada generada, ticket 100018
25/02/2014 6:45, Iniciando interfase de entrada - UI...
25/02/2014 6:46, Entrada generada, ticket 100019
25/02/2014 6:47, Iniciando interfase de entrada - UI...
25/02/2014 6:47, Entrada generada, ticket 100020
25/02/2014 6:49, Iniciando interfase de entrada - UI...
25/02/2014 6:49, Entrada generada, ticket 100021
25/02/2014 6:50, Iniciando interfase de entrada - UI...
25/02/2014 6:50, Entrada generada, ticket 100022
25/02/2014 6:51, Iniciando interfase de entrada - UI...
25/02/2014 6:51, Entrada generada, ticket 100023
25/02/2014 6:52, Iniciando interfase de entrada - UI...
25/02/2014 6:52, Entrada generada, ticket 100024
25/02/2014 6:55, Iniciando interfase de entrada - UI...
25/02/2014 6:55, Entrada generada, ticket 100025
8/22/2015 1:21 PM, Iniciando interfase de entrada - UI...
8/23/2015 11:21 AM, Iniciando interfase de entrada - UI...
8/23/2015 11:46 AM, Iniciando interfase de entrada - UI...
8/23/2015 11:52 AM, Iniciando interfase de entrada - UI...
8/23/2015 11:52 AM, Error al generar ticket de entrada
8/23/2015 11:53 AM, Iniciando interfase de entrada - UI...
8/23/2015 11:53 AM, Error al generar ticket de entrada
8/23/2015 11:54 AM, Error al generar ticket de entrada
8/23/2015 11:57 AM, Iniciando interfase de entrada - UI...
8/23/2015 11:59 AM, Iniciando interfase de entrada - UI...
9/4/2015 8:32 PM, Iniciando interfase de entrada - UI...
9/4/2015 8:34 PM, Iniciando interfase de entrada - UI...
9/4/2015 8:37 PM, Iniciando interfase de entrada - UI...
9/4/2015 8:41 PM, Iniciando interfase de entrada - UI...
9/4/2015 8:41 PM, Iniciando interfase de entrada - UI...
9/4/2015 8:41 PM, Error al generar ticket de entrada
9/4/2015 8:48 PM, Iniciando interfase de entrada - UI...
9/4/2015 9:01 PM, Iniciando interfase de entrada - UI...
9/4/2015 9:02 PM, Iniciando interfase de entrada - UI...
9/4/2015 9:02 PM, Iniciando interfase de entrada - UI...
9/4/2015 9:05 PM, Iniciando interfase de entrada - UI...
9/4/2015 9:08 PM, Error al generar ticket de entrada
9/4/2015 9:09 PM, Iniciando interfase de entrada - UI...
9/4/2015 9:09 PM, Error al generar ticket de entrada
9/8/2015 9:58 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:00 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:01 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:01 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:03 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:07 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:09 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:10 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:10 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:11 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:11 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:18 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:19 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:21 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:22 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:27 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:32 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:41 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:43 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:45 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:47 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:49 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:49 PM, Error al generar ticket de entrada
9/8/2015 10:51 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:52 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:53 PM, Iniciando interfase de entrada - UI...
9/8/2015 10:54 PM, Iniciando interfase de entrada - UI...
