22/01/2014 22/01/2014, Iniciando monitor de actividad...
22/01/2014 22/01/2014, Iniciando interfase de entrada - UI...
22/01/2014 22/01/2014, Iniciando interfase de entrada - UI...
22/01/2014 22/01/2014, Error al generar ticket de entrada
22/01/2014 11:40, Iniciando interfase de entrada - UI...
22/01/2014 11:42, Error al generar ticket de entrada
12/02/2014 12:27, Iniciando interfase de entrada - UI...
12/02/2014 12:32, Iniciando interfase de entrada - Port_I...
25/02/2014 6:26, Iniciando interfase de entrada - UI...
25/02/2014 6:27, Error al generar ticket de entrada
25/02/2014 6:28, Error al generar ticket de entrada
25/02/2014 6:28, Error al generar ticket de entrada
25/02/2014 6:31, Iniciando interfase de entrada - UI...
25/02/2014 6:33, Iniciando interfase de entrada - UI...
25/02/2014 6:34, Error al generar ticket de entrada
25/02/2014 6:37, Iniciando interfase de entrada - UI...
25/02/2014 6:37, Error al generar ticket de entrada
25/02/2014 6:38, Iniciando interfase de entrada - UI...
25/02/2014 6:39, Entrada generada, ticket 100015
25/02/2014 6:40, Entrada generada, ticket 100016
25/02/2014 6:43, Iniciando interfase de entrada - UI...
25/02/2014 6:43, Entrada generada, ticket 100017
25/02/2014 6:44, Iniciando interfase de entrada - UI...
25/02/2014 6:44, Entrada generada, ticket 100018
25/02/2014 6:45, Iniciando interfase de entrada - UI...
25/02/2014 6:46, Entrada generada, ticket 100019
25/02/2014 6:47, Iniciando interfase de entrada - UI...
25/02/2014 6:47, Entrada generada, ticket 100020
25/02/2014 6:49, Iniciando interfase de entrada - UI...
25/02/2014 6:49, Entrada generada, ticket 100021
25/02/2014 6:50, Iniciando interfase de entrada - UI...
25/02/2014 6:50, Entrada generada, ticket 100022
25/02/2014 6:51, Iniciando interfase de entrada - UI...
25/02/2014 6:51, Entrada generada, ticket 100023
25/02/2014 6:52, Iniciando interfase de entrada - UI...
25/02/2014 6:52, Entrada generada, ticket 100024
25/02/2014 6:55, Iniciando interfase de entrada - UI...
25/02/2014 6:55, Entrada generada, ticket 100025
8/14/2014 6:34 PM, Iniciando interfase de entrada - UI...
8/14/2014 6:35 PM, Iniciando interfase de entrada - UI...
8/14/2014 8:12 PM, Iniciando interfase de entrada - UI...
8/14/2014 8:12 PM, Error al generar ticket de entrada
8/14/2014 8:13 PM, Error al generar ticket de entrada
8/18/2014 7:07 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:08 PM, Error al generar ticket de entrada
8/18/2014 7:08 PM, Error al generar ticket de entrada
8/18/2014 7:09 PM, Error al generar ticket de entrada
8/18/2014 7:09 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:09 PM, Error al generar ticket de entrada
8/18/2014 7:09 PM, Error al generar ticket de entrada
8/18/2014 7:10 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:10 PM, Error al generar ticket de entrada
8/18/2014 7:11 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:12 PM, Error al generar ticket de entrada
8/18/2014 7:15 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:15 PM, Error al generar ticket de entrada
8/18/2014 7:15 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:16 PM, Error al generar ticket de entrada
8/18/2014 7:17 PM, Error al generar ticket de entrada
8/18/2014 7:18 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:19 PM, Error al generar ticket de entrada
8/18/2014 7:20 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:36 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:36 PM, Error al generar ticket de entrada
8/18/2014 7:36 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:42 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:43 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:43 PM, Error al generar ticket de entrada
8/18/2014 7:50 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:50 PM, Error al generar ticket de entrada
8/18/2014 7:51 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:51 PM, Error al generar ticket de entrada
8/18/2014 7:53 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:53 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:53 PM, Error al generar ticket de entrada
8/18/2014 7:59 PM, Iniciando interfase de entrada - UI...
8/18/2014 7:59 PM, Error al generar ticket de entrada
8/18/2014 8:14 PM, Iniciando interfase de entrada - UI...
8/18/2014 8:14 PM, Error al generar ticket de entrada
8/18/2014 8:14 PM, Iniciando interfase de entrada - UI...
8/18/2014 8:15 PM, Iniciando interfase de entrada - UI...
8/18/2014 8:15 PM, Iniciando interfase de entrada - UI...
8/18/2014 8:17 PM, Iniciando interfase de entrada - UI...
8/18/2014 10:59 PM, Iniciando interfase de entrada - UI...
8/18/2014 11:12 PM, Iniciando interfase de entrada - UI...
8/18/2014 11:16 PM, Iniciando interfase de entrada - UI...
8/18/2014 11:17 PM, Iniciando interfase de entrada - UI...
8/18/2014 11:21 PM, Iniciando interfase de entrada - UI...
8/18/2014 11:21 PM, Iniciando interfase de entrada - UI...
8/18/2014 11:21 PM, Iniciando interfase de entrada - UI...
8/18/2014 11:23 PM, Iniciando interfase de entrada - UI...
